stories_id,WorkTimeInSeconds,WorkerId,annotatorAge,annotatorGender,annotatorRace,distracted,draining,frequency,importance,logTimeSinceEvent,mainEvent,memType,mostSurprising,openness,recAgnPairId,recImgPairId,similarity,similarityReason,story,stressful,summary,timeSinceEvent,probability_history_size0,probability_history_size1,probability_history_size2,probability_history_size3,probability_history_size4,probability_history_size5,Sequentiality_1,Sequentiality_2,Sequentiality_3,Sequentiality_4,Sequentiality_5,word_count,sentence_count,avg_word_length,lexical_diversity,punctuation_count,avg_sentence_length,sensory_word_count,first_person_pronoun_count,past_tense_verb_count,emotion_word_count,dialogue_tag_count
32RIADZISTQWI5XIVG5BN0VMYFRS4U,1641,E9TY34YY,25.0,man,white,1,1,,3.0,4.499809670330264,attending a show,imagined,when I got concert tickets,0.0,,3018Q3ZVOJCZJFDMPSFXATCQ4DARA2,3.0,"I've been to a couple concerts, but not many.","Concerts are my most favorite thing, and my boyfriend knew it. That's why, for our anniversary, he got me tickets to see my favorite artist. Not only that, but the tickets were for an outdoor show, which I love much more than being in a crowded stadium. Since he knew I was such a big fan of music, he got tickets for himself, and even a couple of my friends. He is so incredibly nice and considerate to me and what I like to do. I will always remember this event and I will always cherish him. On the day of the concert, I got ready, and he picked me up and we went out to a restaurant beforehand. He is so incredibly romantic. He knew exactly where to take me without asking. We ate, laughed, and had a wonderful dinner date before the big event. We arrived at the concert and the music was so incredibly beautiful. I loved every minute of it. My friends, boyfriend, and I all sat down next to each other. As the music was slowly dying down, I found us all getting lost just staring at the stars. It was such an incredibly unforgettable and beautiful night.",1,My boyfriend and I went to a concert together and had a great time. We met some of my friends there and really enjoyed ourselves watching the sunset.,90.0,0.03173796919484933,,0.018139484993056006,0.012901327192472915,0.021338709793053568,0.027440204036732516,,-0.013598484201793323,-0.018836642002376412,-0.01039925940179576,-0.004297765158116813,203,15,4.221674876847291,0.625615763546798,30,13.533333333333333,1,23,19,0,0
3018Q3ZVOJCZJFDMPSFXATCQ4DARA2,1245,237K2NI1,25.0,woman,white,1,1,3.0,4.0,4.499809670330264,a concert.,recalled,we saw the beautiful sky.,1.0,,3018Q3ZVOJCZJFDMPSFXATCQ4DARA2,,,"The day started perfectly, with a great drive up to Denver for the show. Me and my boyfriend didn't hit any traffic on the way to Red Rocks, and the weather was beautiful. We met up with my friends at the show, near the top of the theater, and laid down a blanket. The opener came on, and we danced our butts off to the banjoes and mandolins that were playing on-stage. We were so happy to be there. That's when the sunset started. It was so beautiful. The sky was a pastel pink and was beautiful to watch. That's when Phil Lesh came on, and I just about died. It was the happiest moment of my life, seeing him after almost a decade of not seeing him. I was so happy to be there, with my friends and my love. There was nothing that could top that night. We drove home to a sky full of stars and stopped at an overlook to look up at them. I love this place I live. And I love live music. I was so happy.",1,My boyfriend and I went to a concert together and had a great time. We met some of my friends there and really enjoyed ourselves watching the sunset.,90.0,0.028258904872927815,,0.013252301596253346,0.014027205030288314,0.015186633143457584,0.01781648606993258,,-0.015006603276674468,-0.0142316998426395,-0.01307227172947023,-0.010442418802995235,183,16,3.9344262295081966,0.5901639344262295,28,11.4375,0,17,20,2,0
3IRIK4HM3B6UQBC0HI8Q5TBJZLEC61,1159,FK5QTANB,35.0,woman,black,1,1,,4.0,5.010635294096256,my sister having her twins a little early,imagined,she went into labor early,0.5,,3018Q3ZVOJCZJFDMPSFXATCQG04RAI,3.0,I am a mother myself,It seems just like yesterday but today makes five months ago it happened. I had been watching my phone like an owl for the past week. I was waiting for a work related call that my team was waiting for to close a important deal. It wasnt the call I expected though. It was for  my sister was in labor with the twins. My sister is only 7 months pregnant. I got the call shortly after arriving at work. Just as fast I was back out the door and on my way to the hospital. When I arrived my sister had just delivered and I just was in awe. Even though they were a bit small they were mighty. They were the most precious things I had ever seen. I held my niece and nephew and couldnt stop crying. Seeing the tears of joy my sister had was the most warming thing. I am a mother myself but this was the first time for my sister. It was a moment that we could bond and share the warmth of motherhood. I will never forget the look on my brother in law's face as he absorbed the feeling of being  father for the first time. His tears moved the room to tears. It was the most surreal and beautiful moment. The moment had so much of an impact because I can remember becoming a mother for the first time. I am a single mother who is currently enrolled in RN school looking to finish next year. I would do a survey like this again in the future.,1,"My sister gave birth to my twin niece and nephew.  I visited them in the hospital and held them just after they were born.  They were premature and tiny, but strong and healthy.",150.0,0.021594712033956534,,0.012958914959675721,0.011272205937919872,0.012248379563624482,0.013773798974441542,,-0.008635797074280813,-0.010322506096036662,-0.009346332470332052,-0.007820913059514992,266,21,3.9962406015037595,0.5714285714285714,22,12.666666666666666,0,25,26,0,0
3018Q3ZVOJCZJFDMPSFXATCQG04RAI,500,UYOSBBRS,30.0,woman,white,1,4,3.0,5.0,5.010635294096256,meeting my twin niece and nephew.,recalled,finding out they were healthy.,1.0,,3018Q3ZVOJCZJFDMPSFXATCQG04RAI,,,"Five months ago, my niece and nephew were born.  They are my sister's first children, and I was so excited when she announced she was pregnant and I would be an aunt.  It was a huge shock when we learned she was having twins!  When they were born, I went to the hospital to visit with them.  I didn't stay long, even though she and her husband were exhausted.  They wanted to spend time alone as a new family.  I will never forget holding the babies for the first time.  My niece especially was tiny.  They were both premature, but she was only 5 pounds.  My nephew was a little bit bigger and seemed stronger.  We were all so grateful that there were no complications or health issues, which I learned can be common with twins.  They were both so perfect and tiny.  I was like holding tiny dolls.  I will never forget that day.  I love them more than I ever expected I would.",2,"My sister gave birth to my twin niece and nephew.  I visited them in the hospital and held them just after they were born.  They were premature and tiny, but strong and healthy.",150.0,0.02764756736190369,,0.009514241875391842,0.016777350526414617,0.015373909847888475,0.016913163710463173,,-0.018133325486511847,-0.010870216835489072,-0.012273657514015214,-0.010734403651440516,165,15,4.2303030303030305,0.6424242424242425,23,11.0,0,17,23,1,0
3MTMREQS4W44RBU8OMP3XSK8NMJAWZ,1074,34BFLNJV,25.0,man,white,2,2,,3.0,3.4011973816621555,the consequences of going to burning man,imagined,When I don't answer the phone in case I owe them money,0.25,,3018Q3ZVOJCZJFDMPSFXATCQG06AR3,4.0,Because I also have money problems,"About a month ago I went to burning man. I was having a hard time in my life and felt like I needed a break. So I went to burning man. I had a lot of fun and met some friends. But now after it is done I'm having financial problems. My bills keep coming and I owe people. Including my new friends. Everyday bills come and new bills come in the mail. I always look at the caller ID now on my phone, just in case. if I owe them money I don't want to answer. Everyday it feels like I made a mistake by letting myself spend all my money. I have to work extra hours but they won't give me any. So the bills just keep piling up and I need to search around for a second job. I barely have enough time for the first one. I really should have thought about what would have happened in advance.",4,"It is always a journey for me to go to burning man. I am having a hard time catching up on my bills now. I need extra money somehow and also, need to pay people back and get current on all of my bills.",30.0,0.02536374107003212,,0.00869096931334449,0.007207878888584674,0.013530014239950105,0.018039498175494374,,-0.016672771756687632,-0.01815586218144745,-0.011833726830082016,-0.007324242894537748,162,15,3.8395061728395063,0.6419753086419753,19,10.8,0,20,8,0,0
3018Q3ZVOJCZJFDMPSFXATCQG06AR3,931,L427B0E0,35.0,woman,white,1,1,5.0,5.0,3.4011973816621555,about my journey this year to Burning Man metamorphoses,recalled,that I had to borrow money from Quickstep.,1.0,,3018Q3ZVOJCZJFDMPSFXATCQG06AR3,,,"Burning Man metamorphoses was perfect. I am definitely still recovering from it. It is strange, now that I go out there and actually enjoy it more, I have a much harder time out in the default world. I was gifted a tourmalized quartz by a super nice guy that was a volunteer at the box office. I met him at the airport out there. I have been having issues with money and just basically not caring at all. I have had this problem before after coming home from burning man, but this year is definitely different. I feel like since my journey to get there is (now) much easier on me that always, when I come back home to the default world, I need to account for the default world to pick up the slack. It really does suck, though, this year I had to borrow money from Quickstep so that I wouldn't be evicted! I have been having such issues, from me not working enough and also all of the regular Burning Man bills. I really wish that I had a lot more sources of income because there really is nothing I can do about it. I wasn't able to go into work last week because I didn't have the money and no one will let me borrow any money. It really sucks. Thank god for Quickstep. I still am not out of trouble yet. Now, I am not feeling well. I have a cold or something from my ear, but I found some allergy medicine that has been working. I still owe Ashley money, Jason the puppy sitter, and I am late on paying my credit cards. I wish that I would have just not paid my camp fees. and also, worked more when I came back. I also can't rent a car through Turo anymore because they want to charge me for some chipped paint.",1,"It is always a journey for me to go to burning man. I am having a hard time catching up on my bills now. I need extra money somehow and also, need to pay people back and get current on all of my bills.",30.0,0.019600848634062067,,0.011414295700281704,0.0146296923159666,0.013794931177038788,0.01678779919166118,,-0.008186552933780364,-0.0049711563180954675,-0.005805917457023279,-0.0028130494424008883,318,21,4.081761006289308,0.5786163522012578,40,15.142857142857142,0,36,11,0,0
36WLNQG780WFTLD990VT6XXEYVQEBZ,2062,8YBMU0DD,35.0,woman,black,3,1,,4.0,4.499809670330264,a scary car ride where we swerved on our way to a park.,imagined,Lynn pinched Eric's rear and his reaction.,1.0,,3018Q3ZVOJCZJFDMPSFXATCQG1OARN,1.0,"I've been on road trips before, but never to Acadia National Park.","Play stupid games, win stupid prizes road trip edition. Yikes. I still cringe to this day thinking about what happened three months ago. So Lynn, Eric and I were on the last leg of our road trip. We were heading to Acadia National Park. We were having a good time talking about what podcasts we were listening to lately. I mentioned that I started listening to a new true crime podcast. It piqued Eric's interest, so of course he turned around from the front passenger seat trying to get to his phone to pull up the podcast. Lynn was driving and was taken aback by a grown man trying to get to his bag like he was still a kid. It all happened so quickly. I tried to tell Eric that I would grab his phone, and to sit back down. But no he 's up already, and almost had it. That's when Lynn decided to pinch him on the rear end. All hell broke loose. Eric didn't expect it and rolled on his side. Too bad it was the driver's side. Lynn lost control of the car for a moment and we began to swerve towards the trees. Then she regained control. For that moment, all I could think about us crashing into the trees and my parents. Lynn pulled over to steady her nerves and to see if we were okay. We were fine physically but had the one of the biggest scares in our life. Moments later a police car pulled up to check if we were okay. He told us about a diner on one of the exits that we could sit down and recollect ourselves. We thanked him and detoured to the diner. It was still morning so we had plenty of time to get to Acadia National Park.",2,"What happened is that I was on a trip with my friends going to Acadia National Park. During the car ride there, we got a little out of hand and the driver started to swerve, and we got pulled over by a cop and everything was fine. Just the moment itself was extremely scary.",90.0,0.022053502690978347,,0.0047982723014047225,0.005732387198659126,0.009401552102062852,0.00989444178296253,,-0.017255230389573623,-0.01632111549231922,-0.012651950588915495,-0.012159060908015816,304,25,4.065789473684211,0.5789473684210527,36,12.16,1,22,34,0,0
3018Q3ZVOJCZJFDMPSFXATCQG1OARN,697,PH46JLWV,18.0,man,asian,1,4,5.0,5.0,4.499809670330264,a bad driving experience on the way to Acadia National Park,recalled,we got pulled over the cops because of our driving.,0.375,,3018Q3ZVOJCZJFDMPSFXATCQG1OARN,,,"Dear Diary,I would say this happened about 3 months ago. It was during the summer, and all of our bags were packed. My friends and I were ready to go to our trip to Acadia National Park.  We were extremely excited for this because we planned this all year long, and it was finally time to embark on our journey together. It was about a 5 hour drive, and it took a long time, but during this drive, it was extremely eventful. In fact, what happened that day could have been one of the scariest things that happened to us. While listening to some music, my friend was driving the car and singing along, and stopped paying full attention to the road. Suddenly, I could feel him drifting left to right and not have full control of the car. This scared me instantly, and I shut down the music being in the passenger seat, and told him to focus on the road. But there was a cop behind us looking at what we were doing, and he pulled us to the side just to ask to make sure if we were drunk or not. Just experiencing that part really scared us because we knew we all weren't drunk, but the feeling of being pulled aside is a scary moment. We continued with our journey, and the entire trip was great. However, just that moment was the one thing that resided within our minds throughout the entire trip. Going through this experience, I learned to always keep our eyes on the road. I know it is a cliche story, but it is what actually happened, and it affected me in a very big way.",1,"What happened is that I was on a trip with my friends going to Acadia National Park. During the car ride there, we got a little out of hand and the driver started to swerve, and we got pulled over by a cop and everything was fine. Just the moment itself was extremely scary.",90.0,0.03578830808401108,,0.02132445457961391,0.014545191482951244,0.018755193729884923,0.01891892564793428,,-0.014463853504397172,-0.021243116601059837,-0.017033114354126157,-0.016869382436076802,283,15,4.208480565371024,0.5865724381625441,35,18.866666666666667,0,25,31,1,0
32Z9ZLUT1M6BWPTK368LXKUQWLLOHY,2213,0NZUIXNP,25.0,woman,white,1,1,,4.0,3.4011973816621555,my girlfriend and I going to the zoo.,imagined,we were able to see the penguins,1.0,,304SM51WA4QG34IRAVFYVE1S8XNSBV,4.0,I really enjoy going to the zoo with friends and my fiancee.,"I wanted to write about one of the best days in the past year. My girlfriend, and I went to the Columbus Zoo about a month ago. It happened to be one of the hottest days recorded in July in the city! We had been planning this trip for weeks, so despite the weather, we decided to stick to our plans. Ashley and I have been working on spending more time together as we both work full-time jobs that prevent us from having date nights. More recently, I have been asked to work overtime on weekends, but this weekend I knew it would be more beneficial to spend time with her. We got to the zoo early before many of the large groups came and grabbed a snack from the snack bar so we could get a head start on seeing our favorite animals. Ashley really enjoyed seeing the elephants and giraffes, while I wanted to see the tigers and lions. The giraffes were running around playing with their young babies who looked as if they had just learned to walk. We were really lucky to see the penguins who were out swimming in the afternoon, but not for very long. It looked like they had gotten full from all of the fish they were being fed and went back into their private area to nap. I couldn't blame them for that! It felt like a much needed day together with my girlfriend. It meant a lot to me personally, as I have been stressed at work and Ashley finds a way to get me talk about some of the things I've been holding in. It was truly a wonderful experience. What was really neat is that the zoo offered free lemonade to their guests once the temperature got above 95 degrees. Ashley must have had a gallon of lemonade that day! I think Ashley had a great time also, as she talked about the animals on the entire drive back home.",1,"Me and my girlfriend went to the zoo on a hot day. We saw many animals like giraffes, gorillas, elephants, snakes, tigers, lions etc.",30.0,0.03139348985213372,,0.0036460763992383566,0.009113467539363127,0.01245492794098229,0.018233094377339713,,-0.027747413452895366,-0.022280022312770594,-0.01893856191115143,-0.013160395474794008,332,18,4.195783132530121,0.5813253012048193,30,18.444444444444443,2,22,29,0,1
3YGXWBAF713GBO8MYUFB8VR53RKC4M,7228,HUPM5A91,25.0,man,hisp,1,1,2.0,2.0,5.3471075307174685,a trip to the Los Angeles zoo with my girlfriend.,retold,one giraffe made eye contact with me and got close to me.,0.625,304SM51WA4QG34IRAVFYVE1S8XNSBV,,,,"Me and my girlfriend had gone to the Los Angeles Zoo. I can't exactly remember the day but I believe it was either April or May or maybe June. It was a hot day that day and it was spur of the moment trip. I honestly wasn't particularly excited to go but my girlfriend had been bugging me for months to go to the zoo so I finally said let's go. We got there around 10 or 11 in the morning and it was already around 90 degrees. When we walked in there was the insect/reptile section of the zoo so we saw many exotic looking spiders, snakes, scorpions etc. I liked it but my girlfriend didn't like insects. Then we walked in the African animals section. We saw elephants mostly and we could hear monkeys and apes in the distance somewhere. So we keep walking and eventually we find the apes. We saw gorillas hanging out in the shade and in a different section we saw other chimps and monkeys. We walked past that and we saw giraffes. Watching the giraffes was a cool site because they got really close to us. Like one of them was looking at me and came in my direction and I thought it would actually do something to me. Then after we saw the lions and they were mostly hanging out in the shade to stay out of the heat. We continued to walk around and we saw a section with Australian animals. So we managed to see koalas in the tress and tasmanian devils. I think we also saw kangaroos but I can't remember. We spent a lot of time at the zoo maybe around 5-6 hours. I think we left and we got back home around 4 or 5 pm.",1,"Me and my girlfriend went to the zoo on a hot day. We saw many animals like giraffes, gorillas, elephants, snakes, tigers, lions etc.",210.0,0.023469637567177414,,0.005250442774558906,0.013344701065034315,0.008939091261709109,0.01292860665707849,,-0.018219194792618507,-0.010124936502143099,-0.014530546305468305,-0.010541030910098925,299,20,4.080267558528428,0.5284280936454849,29,14.95,2,36,34,1,1
